id,action,fragment,role,effectSemi,usage,effectFull
11,Lost Flare Star,20,00001,"300 Potency AOE
350 Potency DOT, 60s
9000 MP",Instant | 5s | 9000 MP,Consumes MP to deal unaspected damage with a potency of 300 to all nearby enemies. Additional Effect: Unaspected damage over time Potency: 350 Duration: 60s The damage over time effect of Lost Flare Star can only be applied once per target at any given time. This effect cannot be stacked by multiple players.
12,Lost Chainspell,30,01001,"Eliminates cast times
Spell Damage +45%
Increases MP Cost
30s
Sot Ordained: Spell Damage +100%
No Mana Cost Increase
Sot Watcher: Duration increased, 90s",Instant | 90s | 20 uses,Temporarily eliminates cast time for all spells. Duration: 30s Additional Effect: Magic Burst Magic Burst Effect: Increases spell damage by 45% while increasing MP cost Duration: 30s Spirit of the Ordained Effect: Raises Magic Burst spell damage increase to 100% and nullifies additional MP cost Spirit of the Watcher Effect: Lost Chainspell duration is extended to 90s Can only be executed while in combat.
13,Lost Assassination,30,10110,"350 Potency Attack
Chance of KO when at target's rear
Increase chance with lower target HP
Sot Beast: Damage +30%
Crit +40%
18s",Instant | 15s | 99 uses,"Delivers a close-quarter attack with a potency of 350. Chance of instant KO when attacking from the rear, which increases the lower the target's HP. Spirit of the Beast Effect: Grants the effect of Lost Font of Power to self Lost Font of Power Effect: Increases damage dealt by 30% and critical hit rate by 40% Duration: 18s This action does not share a recast timer with any other actions. Furthermore, the recast timer cannot be affected by other actions."
14,Defensive,,,,,
15,Lost Manawall,1,11111,"-90% Damage Taken
Applies Heavy to self and nullifies knockback",Instant | 360s | 2 uses,"Temporarily applies Heavy to self, while reducing damage taken by 90% and nullifying most knockback and draw-in effects. Duration: 6s"
16,Banner of Tireless Conviction,10,10000,"Stacking buff from taking damage, up to 5 stacks
+15% Damage Taken per stack, 30s
5 stacks: -30% Damage Taken, 180s",Instant | 180s | 10 uses,"Storm the field under the Banner of Tireless Conviction, gaining additional stacks each time damage is taken, up to a maximum of 5. Banner of Tireless Conviction Effect: Increases damage taken by 15% per stack Duration: 30s At maximum stacks, take up the Banner of Unyielding Defense. Banner of Unyielding Defense Effect: Reduces damage taken by 30% Duration: 180s Effect cannot be stacked with other Banner actions."
17,Banner of Firm Resolve,10,01111,"Stacking buff from taking damage, up to 5 stacks
-15% Damage Dealt per stack, 30s
5 stacks: -30% Damage Taken, 180s",Instant | 180s | 10 uses,"Storm the field under the Banner of Firm Resolve, gaining additional stacks each time damage is taken, up to a maximum of 5. Banner of Firm Resolve Effect: Reduces damage dealt by 15% per stack Duration: 30s At maximum stacks, take up the Banner of Unyielding Defense. Banner of Unyielding Defense Effect: Reduces damage taken by 30% Duration: 180s Effect cannot be stacked with other Banner actions."
18,Lost Incense,1,01111,"Provoke, -20% Damage Taken 20s",Instant | 20s | Infinte uses,"Gesture threateningly, placing yourself at the top of a target's enmity list. Additional Effect: Enmity generation is increased and damage taken is reduced by 20% Duration: 20s"
19,Lost Excellence,34,00111,"Cures Weakness
Temporarily nullifies attacks
Damage +65%, 60s
-10% Damage Taken, 50s",Instant | 300s | 5,"Instantly cures Weakness and temporarily nullifies most attacks, while increasing damage dealt by 65%. Memorable will be applied when effect ends. Duration: 10s Memorable Effect: Increases damage dealt by 65% while decreasing damage taken by 10% Duration: 50s Can only be executed while in combat."
20,Lost Blood Rage,36,10000,"Damage +15%
-5% Damage Taken per Stack
Stacks increase with each dash attack, Max 4
18s
Max Stacks: +60% Damage
-75% Recast Times
HP MP Regen
30s",Instant | 180s | 10,"Increases damage dealt by 15% and reduces damage taken by 5% per stack. Stacks increase with each use of a dash attack while effect is active, to a maximum of 4. Duration: 18s Maximum stacks grant the effect of Blood Rush. Blood Rush Effect: Increases damage dealt by 60%, shortens recast times by 75%, and gradually restores HP and MP Duration: 30s Can only be executed while in combat."
21,Restorative,,,,,
22,Banner of Solemn Clarity,10,11111,"Periodically gives stack, up to 4, 30s
4 stacks: +50% Heal Potency, Reduces MP Cost, 120s",Instant | 180s | 10,"Storm the field under the Banner of Solemn Clarity, periodically gaining additional stacks, up to a maximum of 4. Duration: 30s Effect ends upon using another action or moving (including facing a different direction). Cancels auto-attack upon execution. At maximum stacks, take up the Banner of Limitless Grace. Banner of Limitless Grace Effect: Increases healing potency by 50% while reducing MP cost Duration: 120s Can only be executed while in combat. Effect cannot be stacked with other Banner actions."
23,Lost Cure,1,10111,"15,000 Potency Heal",2s | 2.5s | Infinite uses,"Restores target's HP. Cure Potency: 15,000"
24,Lost Cure II,9,10111,"21,700 Potency Heal
Sot Saviour: 6,000 Potency Regen, 21s
PEot Fiendhunter: MP Regen Buff but Slows",Instant | 5s | 50 uses,"Restores target's HP. Cure Potency: 21,700 Spirit of the Savior Effect: Regen Cure Potency: 6,000 Duration: 21s"
25,Lost Cure III,1,10111,"15,000 Potency AOE Heal",2s | 2.5s | 99,"Restores HP of target and all party members nearby target. Cure Potency: 15,000"
26,Lost Cure IV,9,10111,"21,700 Potency AOE Heal
Sot Saviour: 6,000 Potency Regen, 21s
PEof Elder: Applies Bravery to party, 1m",Instant | 5s | 25 uses,"Restores HP of target and all party members nearby target. Cure Potency: 21,700 Spirit of the Savior Effect: Regen Cure Potency: 6,000 Duration: 21s"
27,Lost Arise,9,11000,"Raise with Full Health
Removes weakness
PEot Divine: Chance to raise in Delubrum",3s | 2.5s | 5 uses,"Restores all of a KO'd target's HP. If the target was weakened at the time of Raise, the weakness effect will be removed."
28,Lost Sacrifice,19,11111,"Raise with Full Health
Can't be used while afflicted with Sacrifice
Inflicts Sacrifice on Self, 10s
PEot Indomitable: Chance to not apply Sacrifice",3s | 2.5s | 1 use,Restores all of a KO'd target's HP. Cannot be executed if currently afflicted with Sacrifice. Additional Effect: Inflicts Sacrifice on self Duration: 10s
29,Lost Reraise,29,11111,80% Chance Auto Raise on Self,2.5s | 2.5s | 2 uses,Grants the effect of Reraise to self or target ally. Reraise Effect: Grants an 80% chance of automatic revival upon KO Duration: 180m
30,Lost Full Cure,35,01000,"AOE Full HP and MP
AOE Grants Auto-potion and Auto-ether
Sot Breathtaker: -10% Chance Auto-potion and Auto-ether effect ends",Instant | 180s | 10,"Fully restores HP and MP while granting Auto-potion and Auto-ether to self and nearby party members. Auto-potion Effect: Restores HP automatically when HP falls below 50% Duration: 600s When triggered, there is a 50% chance the effect will end. Auto-ether Effect: Restores MP automatically when MP falls below 20% Duration: 600s When triggered, there is a 50% chance the effect will end. Spirit of the Breathtaker Effect: Chance for Auto-potion and Auto-ether effect to end is reduced to 10%"
31,Beneficial,,,,,
32,Lost Spellforge,4,11111,All attacks deal Magic Damage,2.5s | 2.5s | Infinite uses,"Grants the effect of Lost Spellforge to self or target ally. Lost Spellforge Effect: All attacks deal magic damage. However, all bonuses to damage dealt are determined by the attack's base damage type. Duration: 300s Effect cannot be stacked with Lost Steelsting."
33,Lost Steelsting,4,11111,All attacks deal Physical Damage,2.5s | 2.5s | Infinite uses,"Grants the effect of Lost Steelsting to self or target ally. Lost Steelsting Effect: All attacks deal physical damage. However, all bonuses to damage dealt are determined by the attack's base damage type. Duration: 300s Effect cannot be stacked with Lost Spellforge."
34,Lost Protect,1,11111,"-10% Physical Damage Taken, 30m",2.5s | 2.5s | Infinite uses,Applies a barrier to self or target player reducing physical damage taken by 10%. Duration: 30m
35,Lost Shell,1,11111,"-10% Magic Damage Taken, 30m",2.5s | 2.5s | Infinite uses,Applies a barrier to self or target player reducing magic damage taken by 10%. Duration: 30m
36,Lost Reflect,8,11111,"Reflects Magic Attacks, 10s
Sot Guardian: Duration 30s",Instant | 2.5s | 99 uses,Creates a barrier around self or party member that reflects most magic attacks. Duration: 10s Spirit of the Guardian Effect: Duration is increased to 30s
37,Lost Stoneskin,8,11111,"Absorbs 15% Max Health, 60s",2s | 2.5s | 99 uses,Applies a barrier to self or target player that absorbs damage totaling 15% of target's maximum HP. Duration: 60s
38,Lost Bravery,8,11111,"Damage +5%, 600s",2.5s | 2.5s | 99 uses,Increases damage dealt by an ally or self by 5%. Duration: 600s
39,Lost Aethershield,23,10000,"-30% Damage Taken, 15s
Buffs Self and Party",Instant | 60s | 15 uses,Reduces damage taken by self and nearby party members by 30%. Duration: 15s
40,Lost Dervish,22,00010,"Damage +7%, Crit +10%, Haste +1%, 60s
Buffs Self and Party",Instant | 90s | 15 uses,"Increases critical hit rate of self and nearby party members by 10%, increases damage dealt by 7%, and reduces weaponskill cast time and recast time, spell cast time and recast time, and auto-attack delay by 1%. Duration: 60s"
41,Lost Stoneskin II,27,11111,"AOE Absorbs 10% Max Health, 30s",3s | 2.5s | 99 uses,Creates a barrier around self and all party members near you that absorbs damage totaling 10% of maximum HP. Duration: 30s
42,Lost Protect II,31,11111,"-15% Physical Damage Taken, 30m",2.5s | 2.5s | Infinite uses,Applies a barrier to self or target player reducing physical damage taken by 15%. Duration: 30m
43,Lost Shell II,31,11111,"-15% Magic Damage Taken, 30m",2.5s | 2.5s | Infinite uses,Applies a barrier to self or target player reducing magic damage taken by 15%. Duration: 30m
44,Lost Bubble,32,11111,"Max HP +30%, 600s",2.5s | 2.5s | 99 uses,Increases maximum HP of self or target player by 30%. Duration: 600s
45,Tactical,,,,,
46,Lost Stealth,1,11111,"Stealth, -25% Move Speed",Instant | 15s | 99 uses,"Blend in with your surroundings, making it impossible for most enemies to detect you, but reducing movement speed by 25%. Has no effect on certain enemies with special sight. Cannot be executed while in combat. Effect ends upon use of any action other than Sprint, or upon reuse."
47,Lost Swift,4,11111,"Move Speed Up, 10s
Sot Breathtaker: Evasion +30%, 60s
Sot Watcher: Shortens recast of next ability by 60%",Instant | 90s | 25 uses,Greatly increases movement speed. Duration: 10s Spirit of the Breathtaker Effect: Increases evasion by 30% Duration: 60s Spirit of the Watcher Effect: Grants Rapid Recast to self Rapid Recast Effect: Shortens recast time for next ability used by 60% Duration: 30s Effect cannot be stacked with other movement speed enhancing abilities.
48,Lost Font of Skill,13,11111,Resets recast timer of most actions,Instant | 300s | 5 uses,Resets the recast timer for most actions and role actions.
49,Mimic,16,11111,Copies targets lost techniques,Instant | 5s | 1 use,Study the lost techniques used by a targeted ally and make them your own.
50,Lost Perception,17,11111,Trap Detection,Instant | 1.5s | 99 uses,"Detect traps within a radius of 15 yalms. If there are no traps within 15 yalms, alerts you to the presence of traps with a radius of 36 yalms. ※This action can only be used in Delubrum Reginae."
51,Lost Impetus,33,11111,"10 Yalm Dash
AOE Increased Movement Speed, 10s
Sot Breathtaker: AOE +15% Evasion, 60s
Sot Watcher: AOE -25% recast on next ability",Instant | 30s | 50 uses,Quickly dash 10 yalms forward. Additional Effect: Applies Lost Swift to self and nearby party members Lost Swift Effect: Greatly increases movement speed Effect cannot be stacked with other movement speed enhancing abilities. Duration: 10s Spirit of the Breathtaker Effect: Increases evasion of self and nearby party members by 15% Duration: 60s Spirit of the Watcher Effect: Grants Rapid Recast to self and nearby party members Rapid Recast Effect: Shortens recast time for next ability used by 25% Effect only applies to certain abilities. Duration: 15s Cannot be executed while bound.
52,Detrimental,,,,,
53,Lost Paralyse III,4,10110,AOE Paralyse,2.5s | 2.5s | 99 uses,Afflicts target and all nearby enemies with Paralysis. Duration: 60s
54,Lost Banish III,4,01001,"200 Potency AOE
Undead enemies +25% damage taken, 60s",2.5s | 2.5s | 99 uses,Deals unaspected damage with a potency of 200 to target and all enemies nearby it. Additional Effect: Increases damage undead enemies take by 25% Duration: 60s
55,Lost Dispel,4,11111,Removes one beneficial status from target.,2.5s | 2.5s | 15 uses,Removes one beneficial status from target. Cancels auto-attack upon execution.
56,Lost Rend Armor,21,00100,"100 Potency Jump
+10% damage taken on target, 30s",Instant | 60s | 15 uses,Delivers a jumping attack with a potency of 100. Additional Effect: Increases target's damage taken by 10%. Duration: 30s Cannot be executed while bound.
57,Lost Seraph Strike,24,01000,"500 Potency Jump
Target: -10% Accuracy, 15s
Self: -60% Heal Potency, +60% Damage Dealt, 15s",Instant | 60s | 5000 MP,Consumes MP to deliver a jumping attack that deals unaspected damage with a potency of 500. Additional Effect: Reduces target's accuracy by 10%. Duration: 15s Additional Effect: Grants Cleric Stance to self. Cleric Stance Bonus: Reduces healing potency by 60% while increasing damage dealt by 60%. Duration: 15s Cannot be executed while bound.
58,Lost Burst,26,01001,"300 Potency AOE Lightning Damage
AOE Interrupt
Damage taken +10% to enemies with Magic Aversion",Instant | 2.5s | 99 uses,Deals lightning damage with a potency of 300 to all nearby enemies. Additional Effect: Interrupts all nearby enemies Additional Effect: Increases damage taken by enemies with Magical Aversion by 10% Duration: 60s
59,Lost Rampage,27,10110,"300 Potency AOE Attack
AOE Interrupt
Damage Taken +10% to enemies with Physical Aversion",Instant | 2.5s | 99 uses,Delivers an attack with a potency of 300 to all nearby enemies. Additional Effect: Interrupts all nearby enemies Additional Effect: Increases damage taken by enemies with Physical Aversion by 10% Duration: 60s
60,Item-Related,,,,,
61,Dynamis Dice,16,11111,Random Effect,180s,Place your faith in the goddess Nymeia as she spins the wheel of fate. Can only be executed while in combat.
62,Resistance Phoenix,2,11111,Raise,,Resurrects target to a weakened state.
63,Resistance Reraiser,6,11111,70% Chance Auto Raise on Self,,Grants a 70% chance of automatic revival upon KO. Duration: 180m
64,Resistance Potion Kit,6,11111,"Restores HP when HP falls below 50%, 600s
50% chance effect ends
Sot Breathtaker: 10% chance effect ends",30s,"Grants Auto-potion to self. Auto-potion Effect: Restores HP automatically when HP falls below 50% Duration: 600s When triggered, there is a 50% chance the effect will end. Spirit of the Breathtaker Effect: Chance for Auto-potion effect to end is reduced to 10% Shares a recast timer with Resistance Ether Kit and Resistance Medikit."
65,Resistance Ether Kit,6,11111,"Restores MP when MP fals below 20%, 600s
50% chance effect ends
Sot Breathtaker: 10% chance effect ends",30s,"Grants Auto-ether to self. Auto-ether Effect: Restores MP automatically when MP falls below 20% Duration: 600s When triggered, there is a 50% chance the effect will end. Spirit of the Breathtaker Effect: Chance for Auto-ether effect to end is reduced to 10% Shares a recast timer with Resistance Potion Kit and Resistance Medikit."
66,Resistance Medikit,9,11111,"Esuna on Self 
OR
Protects from next status ailment, 30m",45s,"Removes a single detrimental effect from self. When not suffering from detrimental effects, creates a barrier that protects against most status ailments. The barrier is removed after curing the next status ailment suffered. Effect cannot be stacked with similar barrier actions. Duration: 30m Shares a recast timer with Resistance Potion Kit and Resistance Ether Kit."
67,Resistance Potion,2,11111,"5,000 Potency HOT, 40s",40s,"Gradually restores HP. Cure Potency: 5,000 Duration: 40s"
68,Essence of the Aetherweaver,3,01000,Damage +80%,,Increases damage dealt by 80%. Effect ends upon reuse. Cannot be used with other Essence or Deep Essence actions.
69,Essence of the Martialist,3,10000,Damage +60%,,Increases damage dealt by 60%. Effect ends upon reuse. Cannot be used with other Essence or Deep Essence actions.
70,Essence of the Saviour,3,10111,"Heal Potency +60%
Special Effect on Lost Cure II and Lost Cure IV",,Increases healing potency by 60%. Effect ends upon reuse. Cannot be used with other Essence or Deep Essence actions.
71,Essence of the Veteran,3,01001,"Physical Defense +150%
Magic Defense +45%
Max HP +60%
Special Effect on Lost Font of Magic",,"Increases physical defense by 150%, magic defense by 45%, and maximum HP by 60%. Effect ends upon reuse. Cannot be used with other Essence or Deep Essence actions."
72,Essence of the Platebearer,3,00110,"Defense +80%
Max HP +45%
Special Effect on Lost Font of Power",,Increases defense by 80% and maximum HP by 45%. Effect ends upon reuse. Cannot be used with other Essence or Deep Essence actions.
73,Essence of the Guardian,6,10000,"Defense +30%
Max HP +10%
Special Effect on Lost Reflect",,Increases defense by 30% and maximum HP by 10%. Effect ends upon reuse. Cannot be used with other Essence or Deep Essence actions.
74,Essence of the Ordained,6,01001,"Damage +20%
Heal Potency +25%
Max MP +50%
Special Effect on Lost Death
Can't be used on BLM",,"Increases damage dealt by 20%, healing potency by 25%, and maximum MP by 50%. Effect ends upon reuse. Cannot be used with other Essence or Deep Essence actions."
75,Essence of the Skirmisher,6,00111,"Damage +20%
Crit +15%",,Increases damage dealt by 20% and critical hit rate by 15%. Effect ends upon reuse. Cannot be used with other Essence or Deep Essence actions.
76,Essence of the Watcher,6,00111,"Max HP -5%
Evasion +40%
Special Effect on Lost Swift",,Reduces maximum HP by 5% while increasing evasion by 40%. Effect ends upon reuse. Cannot be used with other Essence or Deep Essence actions.
77,Essence of the Profane,6,01000,"Heal Potency -70%
Damage +100%",,Reduces healing potency by 70% while increasing damage dealt by 100%. Effect ends upon reuse. Cannot be used with other Essence or Deep Essence actions.
78,Essence of the Irregular,6,10000,"Damage +90%
Damage Taken +200%
Max HP -30%
Special Effect on Lost Font of Power",,Increases damage dealt by 90% and damage taken by 200% while reducing maximum HP by 30%. Effect ends upon reuse. Cannot be used with other Essence or Deep Essence actions.
79,Essence of the Breathtaker,6,11111,"Poison Resist, Move Speed, Mount Speed Up
Evasion +10%
Special Effect on Lost Swift, Resistance Potion Kit, and Resistance Ether Kit",,"Increases poison resistance and movement speed, including mount speed, and increases evasion by 10%. Effect ends upon reuse. Cannot be used with other Essence or Deep Essence actions."
80,Essence of the Bloodsucker,11,10000,"Damage +40%
Lifesteal",,Increases damage dealt by 40%. Additional Effect: Absorb a portion of damage dealt as HP Effect ends upon reuse. Cannot be used with other Essence or Deep Essence actions.
81,Essence of the Beast,11,00111,"Defense +50%
Max HP +45%
Lifesteal",,Increases defense by 50% and maximum HP by 45%. Additional Effect: Absorb a portion of damage dealt as HP Effect ends upon reuse. Cannot be used with other Essence or Deep Essence actions.
82,Essence of the Templar,11,01000,"Defense +50%
Max HP +45%
Damage +60%",,"Increases defense by 50%, maximum HP by 45%, and damage dealt by 60%. Effect ends upon reuse. Cannot be used with other Essence or Deep Essence actions."
83,Deep Essence of the Aetherweaver,12,01000,Damage +96%,,Increases damage dealt by 96%. Effect ends upon reuse. Cannot be used with other Essence or Deep Essence actions.
84,Deep Essence of the Martialist,12,10000,Damage +72%,,Increases damage dealt by 72%. Effect ends upon reuse. Cannot be used with other Essence or Deep Essence actions.
85,Deep Essence of the Saviour,12,10111,"Heal Potency +72%
Special Effect on Lost Cure II and Lost Cure IV",,Increases healing potency by 72%. Effect ends upon reuse. Cannot be used with other Essence or Deep Essence actions.
86,Deep Essence of the Veteran,12,01001,"Physical Defense +180%
Magic Defense +54%
Max HP +72%
Special Effect on Lost Font of Magic",,"Increases physical defense by 180%, magic defense by 54%, and maximum HP by 72%. Effect ends upon reuse. Cannot be used with other Essence or Deep Essence actions."
87,Deep Essence of the Platebearer,12,00110,"Defense +96%
Max HP +54%
Special Effect on Lost Font of Power",,Increases defense by 96% and maximum HP by 54%. Effect ends upon reuse. Cannot be used with other Essence or Deep Essence actions.
88,Deep Essence of the Guardian,14,10000,"Defense +36%
Max HP +12%
Special Effect on Lost Reflect",,Increases defense by 36% and maximum HP by 12%. Effect ends upon reuse. Cannot be used with other Essence or Deep Essence actions.
89,Deep Essence of the Ordained,14,01001,"Damage +24%
Heal Potency +30%
Max MP +60%
Special Effect on Lost Death
Cannot be used on BLM",,"Increases damage dealt by 24%, healing potency by 30%, and maximum MP by 60%. Effect ends upon reuse. Cannot be used with other Essence or Deep Essence actions."
90,Deep Essence fo the Skirmisher,14,00111,"Damage +24%
Crit +18%",,Increases damage dealt by 24% and critical hit rate by 18%. Effect ends upon reuse. Cannot be used with other Essence or Deep Essence actions.
91,Deep Essence fo the Watcher,14,00111,"Max HP -3%
Evasion +48%
Special Effect on Lost Swift",,Reduces maximum HP by 3% while increasing evasion by 48%. Effect ends upon reuse. Cannot be used with other Essence or Deep Essence actions.
92,Deep Essence of the Profane,14,01000,"Heal Potency -70%
Damage +120%",,Reduces healing potency by 70% while increasing damage dealt by 120%. Effect ends upon reuse. Cannot be used with other Essence or Deep Essence actions.
93,Deep Essence of the Irregular,14,10000,"Damage +108%
Damage Taken +200%
Max HP -30%
Special Effect on Lost Font of Power",,Increases damage dealt by 108% and damage taken by 200% while reducing maximum HP by 30%. Effect ends upon reuse. Cannot be used with other Essence or Deep Essence actions.
94,Deep Essence of the Breathtaker,14,11111,"Poison Resist, Move Speed, Mount Speed Up
Evasion +20%
Special Effect on Lost Swift, Resistance Potion Kit, and Resistance Ether Kit",,"Increases poison resistance and movement speed, including mount speed, and increases evasion by 20%. Effect ends upon reuse. Cannot be used with other Essence or Deep Essence actions."
95,Deep Essence of the Bloodsucker,15,10000,"Damage +48%
Lifesteal",,Increases damage dealt by 48%. Additional Effect: Absorb a portion of damage dealt as HP Effect ends upon reuse. Cannot be used with other Essence or Deep Essence actions.
96,Deep Essence of the Beast,15,00111,"Defense +60%
Max HP +54%
Lifesteal",,Increases defense by 60% and maximum HP by 54%. Additional Effect: Absorb a portion of damage dealt as HP Effect ends upon reuse. Cannot be used with other Essence or Deep Essence actions.
97,Deep Essence of the Templar,15,01000,"Defense +60%
Max HP +54%
Damage +72%",,"Increases defense by 60%, maximum HP by 54%, and damage dealt by 72%. Effect ends upon reuse. Cannot be used with other Essence or Deep Essence actions."
98,Pure Essence of the Gambler,18,00111,"Evasion +11%
Crit +77%
Direct Hit +77%
Delubrum Reginae Only",,"Increases evasion by 11%, critical hit rate by 77%, and direct hit rate by 77%. Effect ends upon reuse. Cannot be used with other Essence, Deep Essence, or Pure Essence actions. It is said that Pure Essences may grant unexpected effects... ※This action can only be used in Delubrum Reginae."
99,Pure Essence of the Elder,20,00001,"Defense +25%
Damage +50%
Max HP +100%
Special Effect on Lost Cure IV
Delubrum Reginae Only",,"Increases defense by 25%, damage dealt by 50%, and maximum HP by 100%. Effect ends upon reuse. Cannot be used with other Essence, Deep Essence, or Pure Essence actions. It is said that Pure Essences may grant unexpected effects... ※This action can only be used in Delubrum Reginae."
100,Pure Essence of the Duelist,21,00100,"Defense +60%
Damage +60%
Max HP +81%
Special Effect on Banner of Honored Sacrifice
Delubrum Reginae Only",,"Increases defense by 60%, damage dealt by 60%, and maximum HP by 81%. Effect ends upon reuse. Cannot be used with other Essence, Deep Essence, or Pure Essence actions. It is said that Pure Essences may grant unexpected effects... ※This action can only be used in Delubrum Reginae."
101,Pure Essence of the Fiendhunter,22,00010,"Defense +60%
Damage +50%
Max HP +81%
Special Effect on Lost Cure II
Delubrum Reginae Only",,"Increases defense by 60%, damage dealt by 50%, and maximum HP by 81%. Effect ends upon reuse. Cannot be used with other Essence, Deep Essence, or Pure Essence actions. It is said that Pure Essences may grant unexpected effects... ※This action can only be used in Delubrum Reginae."
102,Pure Essence of the Indomitable,23,10000,"Defense +40%
Damage +72%
Max HP +50%
Special Effect on Lost Sacrifice
Delubrum Reginae Only",,"Increases defense by 40%, damage dealt by 72%, and maximum HP by 50%. Effect ends upon reuse. Cannot be used with other Essence, Deep Essence, or Pure Essence actions. It is said that Pure Essences may grant unexpected effects... ※This action can only be used in Delubrum Reginae."
103,Pure Essence of the Divine,24,01000,"Defense +25%
Damage +35%
Max HP +100%
Special Effect on Lost Arise
Delubrum Reginae Only",,"Increases defense by 25%, damage dealt by 35%, and maximum HP by 100%. Effect ends upon reuse. Cannot be used with other Essence, Deep Essence, or Pure Essence actions. It is said that Pure Essences may grant unexpected effects... ※This action can only be used in Delubrum Reginae."
104,Lodestone,25,11111,Return,Instant | 2.5s,Instantly return to the starting point of the area. Cannot be executed while in combat. Shares a recast timer with all other weaponskills and spells.
105,Light Curtain,28,11111,"Reflect Magic Attacks, 10s",Instant | 2.5s,Grants the effect of Lost Reflect to self. Lost Reflect Effect: Reflects most magic attacks Duration: 10s Shares a recast timer with all other weaponskills and spells.
106,Resistance Elixir,34,11111,Max HP and MP,Instant | 90s,Restores own HP and MP to maximum. Shares a recast timer with Resistance Potion and Dynamis Dice.
